Department of Employee,Reason for Resigning,Absenteeism Rate (%),Training Expenses (US$),Training Efficiency Rating (%),Time until Promotion (Months),Training Completion (%),Age,Average Length of Service (Months),Distance between Home and Workplace (km),Non-engagement Rating (%),Performance Rating (%),Source of Hire,Notice Period (Months),Alma Mater,Previous Place of Residence,Fiscal Year of Resignation,Power Plant Location
Finance,Bored and unchallenged by the work itself,4,55,72,8,84,20,4,8,84,80,Campus recruitment,0,IITs,Jharkhand,2019,Singrauli
Production,Job location not favourable,34,55,85,11,85,21,11,18,78,97,Campus recruitment,0,DTU,Delhi,2019,Korba
Information Technology,Poor department performance,54,55,80,10,75,22,6,15,73,99,Other job portals,2,DTU,Punjab,2019,Kawai
Safety,Further studies,41,55,90,6,31,23,10,7,5,67,Campus recruitment,2,NSIT,Kerala,2019,Korba
Strategy,Bored and unchallenged by the work itself,56,235,66,7,88,20,7,4,10,87,Campus recruitment,0,DTU,Punjab,2019,Raigarh
Production,Preparing for competitive exams,33,108,92,7,84,20,8,4,70,66,Campus recruitment,0,DTU,Kerala,2019,Mundra
Projects and Engineering,Job location not favourable,59,55,97,6,86,20,10,11,61,74,Campus recruitment,2,IITs,Punjab,2019,Singrauli
Production,Job location not favourable,40,55,73,9,66,20,11,19,75,89,Campus recruitment,1,DTU,Maharashtra,2019,Raigarh
Production,Poor department performance,55,210,98,10,77,20,7,14,15,94,Other job portals,1,NSIT,Delhi,2019,Kawai
Production,Bored and unchallenged by the work itself,52,286,91,10,82,23,11,17,78,91,Campus recruitment,0,IITs,Delhi,2019,Mundra
Legal,Bored and unchallenged by the work itself,31,55,82,10,85,22,7,4,76,70,Campus recruitment,2,DTU,Kerala,2019,Singrauli
Sales and Promotion,Preparing for competitive exams,60,55,78,11,86,23,3,20,79,65,Campus recruitment,1,IITs,Delhi,2019,Korba
Strategy,Job location not favourable,19,270,67,6,78,21,7,8,94,85,Campus recruitment,0,DTU,Delhi,2019,Kawai
Sales and Promotion,Bored and unchallenged by the work itself,21,55,95,10,75,20,9,7,67,73,Campus recruitment,0,IITs,Jharkhand,2019,Korba
Production,Job location not favourable,58,55,75,3,86,24,11,4,20,94,Campus recruitment,0,IITs,Tamil Nadu,2019,Raigarh
Sales and Promotion,Bored and unchallenged by the work itself,11,55,70,6,74,23,8,15,98,95,Campus recruitment,0,NITs,Delhi,2019,Mundra
Production,Preparing for competitive exams,45,193,80,9,15,24,8,11,83,74,Campus recruitment,0,IITs,Maharashtra,2019,Singrauli
Production,Better opportunity,46,55,95,9,81,20,8,17,61,60,Campus recruitment,0,DTU,Delhi,2019,Raigarh
Research and Development,Preparing for competitive exams,8,211,63,8,86,21,4,1,70,68,Campus recruitment,1,NITs,Kerala,2019,Kawai
Production,Preparing for competitive exams,41,109,76,1,21,20,11,9,25,62,Other job portals,1,IITs,Delhi,2019,Mundra
Projects and Engineering,Preparing for competitive exams,25,253,77,9,85,21,11,16,60,63,Campus recruitment,0,DTU,Delhi,2019,Singrauli
Projects and Engineering,Bored and unchallenged by the work itself,49,287,79,9,7,20,10,5,91,69,Campus recruitment,2,DTU,Punjab,2019,Korba
Supply Chain Management,Better opportunity,54,55,79,8,14,22,8,8,66,62,Other job portals,1,DTU,Punjab,2019,Kawai
Quality Assurance,Bored and unchallenged by the work itself,56,275,71,6,14,23,11,11,85,96,Campus recruitment,0,IITs,Kerala,2019,Korba
Sales and Promotion,Bored and unchallenged by the work itself,23,126,61,7,30,23,11,4,70,76,Campus recruitment,0,IITs,Maharashtra,2019,Raigarh
Strategy,Further studies,4,55,67,11,85,21,7,17,74,72,Campus recruitment,0,IITs,Maharashtra,2019,Mundra
Quality Assurance,Further studies,17,55,63,9,82,21,11,11,92,84,Campus recruitment,1,DTU,Punjab,2019,Singrauli
Production,Better opportunity,53,55,93,10,88,21,8,14,81,76,Campus recruitment,0,DTU,Delhi,2019,Raigarh
Projects and Engineering,Better opportunity,44,145,98,7,87,23,8,17,93,75,Campus recruitment,0,NSIT,Delhi,2019,Kawai
Production,Further studies,44,52,87,4,28,23,11,8,84,95,Campus recruitment,0,IITs,Uttar Pradesh,2019,Mundra
Production,Job location not favourable,43,175,61,11,95,20,10,13,70,65,Campus recruitment,0,IITs,Delhi,2019,Singrauli
Information Technology,Job location not favourable,22,462,83,8,77,24,4,15,96,61,Agency,1,IITs,Maharashtra,2019,Korba
Legal,Further studies,17,306,89,10,99,22,11,3,60,84,Campus recruitment,1,NITs,Uttar Pradesh,2019,Kawai
Production,Job dissatisfaction,59,95,70,4,68,21,8,14,92,64,Agency,0,DTU,Tamil Nadu,2019,Korba
Warehouse,Better opportunity,41,55,73,6,99,23,6,7,60,72,Referral,1,NITs,Madhya Pradesh,2019,Raigarh
Strategy,Poor department performance,52,55,95,9,99,20,8,20,68,64,Agency,0,IITs,Uttar Pradesh,2019,Mundra
Warehouse,Preparing for competitive exams,27,107,70,8,99,20,11,16,92,81,LinkedIn,2,IITs,Delhi,2019,Singrauli
Human Resources,Job dissatisfaction,43,184,100,9,58,22,4,1,64,80,Other job portals,0,NITs,Delhi,2019,Raigarh
Supply Chain Management,Job dissatisfaction,58,281,71,6,54,22,9,15,95,60,Other job portals,0,DTU,Punjab,2019,Kawai
Research and Development,Job location not favourable,47,331,87,8,95,20,11,8,96,99,Campus recruitment,1,NITs,Maharashtra,2019,Mundra
Administration,Better opportunity,55,421,89,7,54,20,3,1,85,87,Referral,0,DTU,Tamil Nadu,2019,Singrauli
Finance,Job location not favourable,57,370,85,4,57,23,10,16,74,65,Agency,0,NSIT,Kerala,2019,Korba
Safety,Bored and unchallenged by the work itself,49,65,61,5,43,21,4,12,79,91,Campus recruitment,0,NITs,Maharashtra,2019,Kawai
Sales and Promotion,Further studies,5,250,83,11,65,21,3,20,82,85,Referral,0,NITs,Uttar Pradesh,2019,Korba
Administration,Job dissatisfaction,41,285,90,9,85,23,7,8,77,96,Referral,1,IITs,Punjab,2019,Raigarh
Supply Chain Management,Poor department performance,54,242,61,6,84,20,10,9,97,69,Campus recruitment,0,IITs,Chhattisgarh,2019,Mundra
Finance,Poor department performance,44,239,68,10,84,21,11,9,33,87,LinkedIn,2,IITs,Tamil Nadu,2019,Singrauli
Production,Bored and unchallenged by the work itself,40,247,63,6,66,24,8,14,44,70,Campus recruitment,1,IITs,Tamil Nadu,2019,Raigarh
Warehouse,Bored and unchallenged by the work itself,25,247,89,10,66,23,3,17,22,79,Campus recruitment,1,NSIT,Punjab,2019,Kawai
Quality Assurance,Poor department performance,27,257,84,5,85,24,7,14,96,79,Campus recruitment,2,NITs,Delhi,2019,Mundra
Warehouse,Further studies,49,267,77,7,64,22,11,18,82,69,Campus recruitment,0,IIITs,Madhya Pradesh,2019,Singrauli
Supply Chain Management,Job dissatisfaction,41,231,71,7,84,24,11,20,84,78,Campus recruitment,1,IIEST,Chhattisgarh,2019,Korba
Finance,Poor department performance,48,268,85,10,31,22,11,11,55,68,Campus recruitment,1,IITs,Bihar,2019,Kawai
Human Resources,Job location not favourable,26,265,60,7,84,20,11,20,85,81,Other job portals,2,IITs,Bihar,2019,Korba
Supply Chain Management,Job location not favourable,47,286,74,11,86,23,11,4,68,90,Campus recruitment,2,DTU,Maharashtra,2019,Raigarh
Human Resources,Further studies,12,294,82,7,85,23,5,4,44,91,Campus recruitment,0,IITs,Bihar,2019,Mundra
Administration,Poor department performance,22,267,88,2,55,22,6,15,85,81,Other job portals,0,DTU,Delhi,2019,Singrauli
Research and Development,Job dissatisfaction,7,55,84,7,49,21,4,13,81,98,Campus recruitment,2,IIITs,Madhya Pradesh,2019,Raigarh
Information Technology,Bored and unchallenged by the work itself,27,108,63,9,99,22,5,0,63,65,Campus recruitment,2,IITs,Punjab,2019,Kawai
Quality Assurance,Job dissatisfaction,24,90,79,9,95,21,11,10,22,80,Campus recruitment,0,IIITs,Kerala,2019,Mundra
Warehouse,Preparing for competitive exams,49,250,88,9,96,23,6,2,69,86,Other job portals,2,IITs,Uttar Pradesh,2019,Singrauli
Production,Further studies,23,285,87,8,82,22,10,19,87,66,Campus recruitment,0,IIITs,Tamil Nadu,2019,Korba
Safety,Job location not favourable,27,239,94,7,84,24,11,14,93,96,Other job portals,2,IITs,Delhi,2019,Kawai
Projects and Engineering,Preparing for competitive exams,37,247,60,10,81,24,9,6,65,74,Campus recruitment,2,IITs,Punjab,2019,Korba
Research and Development,Further studies,38,247,84,10,85,20,3,20,64,73,Campus recruitment,2,NSIT,Kerala,2019,Raigarh
Legal,Better opportunity,52,257,66,4,68,23,11,18,94,76,Campus recruitment,2,NITs,Tamil Nadu,2019,Mundra
Human Resources,Preparing for competitive exams,21,267,84,10,96,22,3,2,88,92,Other job portals,2,NITs,Maharashtra,2019,Singrauli
Production,Bored and unchallenged by the work itself,59,231,76,9,85,22,11,2,72,73,Campus recruitment,0,DTU,Tamil Nadu,2019,Raigarh
Research and Development,Job dissatisfaction,21,294,89,9,81,24,3,6,98,84,Campus recruitment,2,IIITs,Maharashtra,2019,Kawai
Projects and Engineering,Bored and unchallenged by the work itself,21,160,91,9,63,23,6,6,81,72,Campus recruitment,0,NSIT,Punjab,2019,Mundra
Quality Assurance,Job location not favourable,22,210,69,5,89,21,8,6,96,70,Campus recruitment,0,NSIT,Kerala,2019,Singrauli
Administration,Job location not favourable,54,55,82,6,69,22,10,20,96,70,Campus recruitment,1,IIEST,Tamil Nadu,2019,Korba
Projects and Engineering,Better opportunity,34,55,98,6,87,24,9,6,86,97,Other job portals,2,DTU,Jharkhand,2019,Kawai
Production,Bored and unchallenged by the work itself,53,55,75,7,93,20,3,3,68,81,Campus recruitment,0,IITs,Punjab,2019,Korba
Information Technology,Better opportunity,42,55,94,8,65,22,5,8,89,91,Campus recruitment,0,IIEST,Maharashtra,2019,Raigarh
Sales and Promotion,Preparing for competitive exams,25,55,63,10,64,20,3,0,71,64,Campus recruitment,1,IITs,Madhya Pradesh,2019,Mundra
Information Technology,Job location not favourable,49,55,90,11,94,24,11,3,60,78,Campus recruitment,2,IITs,Tamil Nadu,2019,Singrauli
Production,Bored and unchallenged by the work itself,55,55,86,11,88,21,6,9,69,90,Campus recruitment,0,IIEST,Bihar,2019,Raigarh
Supply Chain Management,Job location not favourable,54,55,93,8,72,21,11,5,60,66,Campus recruitment,0,IIITs,Uttar Pradesh,2019,Kawai
Sales and Promotion,Better opportunity,52,55,80,7,98,24,11,12,96,78,Other job portals,0,NSIT,Uttar Pradesh,2019,Mundra
Legal,Further studies,30,55,91,7,81,24,11,19,73,84,Campus recruitment,2,IITs,Uttar Pradesh,2019,Singrauli
Production,Job location not favourable,46,55,99,8,96,21,11,11,84,66,Campus recruitment,2,IITs,Madhya Pradesh,2019,Korba
Administration,Further studies,54,230,89,11,96,22,10,7,84,69,Other job portals,0,IITs,Punjab,2019,Kawai
Administration,Bored and unchallenged by the work itself,30,133,72,10,85,20,9,4,88,86,Other job portals,0,NSIT,Kerala,2019,Korba
Production,Job location not favourable,49,55,68,11,82,24,8,9,90,79,Campus recruitment,2,DTU,Delhi,2019,Raigarh
Finance,Job dissatisfaction,30,55,71,10,99,23,3,16,98,70,Campus recruitment,1,IITs,Delhi,2019,Mundra
Administration,Better opportunity,38,55,98,9,56,20,5,8,70,61,Other job portals,2,NITs,Maharashtra,2019,Singrauli
Production,Better opportunity,57,55,67,8,46,20,11,18,93,61,Campus recruitment,0,IITs,Delhi,2019,Raigarh
Production,Better opportunity,52,250,61,3,83,20,6,16,88,76,Campus recruitment,2,NITs,Kerala,2019,Kawai
Safety,Bored and unchallenged by the work itself,8,250,99,2,48,22,11,19,74,90,Campus recruitment,0,IITs,Kerala,2019,Mundra
Information Technology,Job location not favourable,10,250,90,11,48,21,4,14,79,65,Campus recruitment,2,NSIT,Delhi,2019,Singrauli
Projects and Engineering,Better opportunity,55,250,96,11,53,20,9,9,78,77,Campus recruitment,0,IITs,Maharashtra,2019,Korba
Production,Job location not favourable,6,55,88,7,65,23,11,3,64,63,Campus recruitment,0,IITs,Kerala,2019,Kawai
Production,Better opportunity,53,222,89,11,66,22,10,8,85,99,Campus recruitment,0,DTU,Jharkhand,2019,Korba
Legal,Further studies,1,131,69,10,66,22,10,0,74,88,Campus recruitment,1,DTU,Kerala,2019,Raigarh
Production,Job dissatisfaction,39,222,97,6,83,24,4,13,79,85,Campus recruitment,1,IITs,Maharashtra,2019,Mundra
Information Technology,Further studies,54,211,99,11,25,20,6,17,66,78,Campus recruitment,0,DTU,Delhi,2019,Singrauli
Production,Job location not favourable,5,235,89,3,31,24,4,9,96,87,Campus recruitment,0,IITs,Punjab,2019,Raigarh
Strategy,Job dissatisfaction,49,222,65,11,82,24,11,11,90,75,Campus recruitment,1,IITs,Kerala,2019,Kawai
Finance,Better opportunity,55,246,79,8,84,20,4,2,94,80,Campus recruitment,0,DTU,Punjab,2019,Mundra
Finance,Bored and unchallenged by the work itself,4,55,72,8,84,20,4,8,84,80,Campus recruitment,0,IITs,Jharkhand,2019,Singrauli
Production,Job location not favourable,34,55,85,11,85,21,11,18,78,97,Campus recruitment,0,DTU,Delhi,2019,Korba
Information Technology,Poor department performance,54,55,80,10,75,22,6,15,73,99,Other job portals,2,DTU,Punjab,2019,Kawai
Safety,Further studies,41,55,90,6,31,23,10,7,5,67,Campus recruitment,2,NSIT,Kerala,2019,Korba
Strategy,Bored and unchallenged by the work itself,56,235,66,7,88,20,7,4,10,87,Campus recruitment,0,DTU,Punjab,2019,Raigarh
Production,Preparing for competitive exams,33,108,92,7,84,20,8,4,70,66,Campus recruitment,0,DTU,Kerala,2019,Mundra
Projects and Engineering,Job location not favourable,59,55,97,6,86,20,10,11,61,74,Campus recruitment,2,IITs,Punjab,2019,Singrauli
Production,Job location not favourable,40,55,73,9,66,20,11,19,75,89,Campus recruitment,1,DTU,Maharashtra,2019,Raigarh
Production,Poor department performance,55,210,98,10,77,20,7,14,15,94,Other job portals,1,NSIT,Delhi,2019,Kawai
Production,Bored and unchallenged by the work itself,52,286,91,10,82,23,11,17,78,91,Campus recruitment,0,IITs,Delhi,2019,Mundra
Legal,Bored and unchallenged by the work itself,31,55,82,10,85,22,7,4,76,70,Campus recruitment,2,DTU,Kerala,2019,Singrauli
Sales and Promotion,Preparing for competitive exams,60,55,78,11,86,23,3,20,79,65,Campus recruitment,1,IITs,Delhi,2019,Korba
Strategy,Job location not favourable,19,270,67,6,78,21,7,8,94,85,Campus recruitment,0,DTU,Delhi,2019,Kawai
Sales and Promotion,Bored and unchallenged by the work itself,21,55,95,10,75,20,9,7,67,73,Campus recruitment,0,IITs,Jharkhand,2019,Korba
Production,Job location not favourable,58,55,75,3,86,24,11,4,20,94,Campus recruitment,0,IITs,Tamil Nadu,2019,Raigarh
Sales and Promotion,Bored and unchallenged by the work itself,11,55,70,6,74,23,8,15,98,95,Campus recruitment,0,NITs,Delhi,2019,Mundra
Production,Preparing for competitive exams,45,193,80,9,15,24,8,11,83,74,Campus recruitment,0,IITs,Maharashtra,2019,Singrauli
Production,Better opportunity,46,55,95,9,81,20,8,17,61,60,Campus recruitment,0,DTU,Delhi,2019,Raigarh
Research and Development,Preparing for competitive exams,8,211,63,8,86,21,4,1,70,68,Campus recruitment,1,NITs,Kerala,2019,Kawai
Production,Preparing for competitive exams,41,109,76,1,21,20,11,9,25,62,Other job portals,1,IITs,Delhi,2019,Mundra
Projects and Engineering,Preparing for competitive exams,25,253,77,9,85,21,11,16,60,63,Campus recruitment,0,DTU,Delhi,2019,Singrauli
Projects and Engineering,Bored and unchallenged by the work itself,49,287,79,9,7,20,10,5,91,69,Campus recruitment,2,DTU,Punjab,2019,Singrauli
Supply Chain Management,Better opportunity,54,55,79,8,14,22,8,8,66,62,Other job portals,1,DTU,Punjab,2019,Kawai
Quality Assurance,Bored and unchallenged by the work itself,56,275,71,6,14,23,11,11,85,96,Campus recruitment,0,IITs,Kerala,2019,Singrauli
Sales and Promotion,Bored and unchallenged by the work itself,23,126,61,7,30,23,11,4,70,76,Campus recruitment,0,IITs,Maharashtra,2019,Raigarh
Strategy,Further studies,4,55,67,11,85,21,7,17,74,72,Campus recruitment,0,IITs,Maharashtra,2019,Mundra
Quality Assurance,Further studies,17,55,63,9,82,21,11,11,92,84,Campus recruitment,1,DTU,Punjab,2019,Singrauli
Production,Better opportunity,53,55,93,10,88,21,8,14,81,76,Campus recruitment,0,DTU,Delhi,2019,Raigarh
Projects and Engineering,Better opportunity,44,145,98,7,87,23,8,17,93,75,Campus recruitment,0,NSIT,Delhi,2019,Kawai
Production,Further studies,44,52,87,4,28,23,11,8,84,95,Campus recruitment,0,IITs,Uttar Pradesh,2019,Mundra
Production,Job location not favourable,43,175,61,11,95,20,10,13,70,65,Campus recruitment,0,IITs,Delhi,2019,Singrauli
Information Technology,Job location not favourable,22,462,83,8,77,24,4,15,96,61,Agency,1,IITs,Maharashtra,2019,Singrauli
Legal,Further studies,17,306,89,10,99,22,11,3,60,84,Campus recruitment,1,NITs,Uttar Pradesh,2019,Kawai
Production,Job dissatisfaction,59,95,70,4,68,21,8,14,92,64,Agency,0,DTU,Tamil Nadu,2019,Singrauli
Warehouse,Better opportunity,41,55,73,6,99,23,6,7,60,72,Referral,1,NITs,Madhya Pradesh,2019,Singrauli
Strategy,Poor department performance,52,55,95,9,99,20,8,20,68,64,Agency,0,IITs,Uttar Pradesh,2019,Mundra
Warehouse,Preparing for competitive exams,27,107,70,8,99,20,11,16,92,81,LinkedIn,2,IITs,Delhi,2019,Singrauli
Human Resources,Job dissatisfaction,43,184,100,9,58,22,4,1,64,80,Other job portals,0,NITs,Delhi,2019,Singrauli
Supply Chain Management,Job dissatisfaction,58,281,71,6,54,22,9,15,95,60,Other job portals,0,DTU,Punjab,2019,Kawai
Research and Development,Job location not favourable,47,331,87,8,95,20,11,8,96,99,Campus recruitment,1,NITs,Maharashtra,2019,Mundra
Administration,Better opportunity,55,421,89,7,54,20,3,1,85,87,Referral,0,DTU,Tamil Nadu,2019,Singrauli
Finance,Job location not favourable,57,370,85,4,57,23,10,16,74,65,Agency,0,NSIT,Kerala,2019,Singrauli
Safety,Bored and unchallenged by the work itself,49,65,61,5,43,21,4,12,79,91,Campus recruitment,0,NITs,Maharashtra,2019,Kawai
Sales and Promotion,Further studies,5,250,83,11,65,21,3,20,82,85,Referral,0,NITs,Uttar Pradesh,2019,Singrauli
Administration,Job dissatisfaction,41,285,90,9,85,23,7,8,77,96,Referral,1,IITs,Punjab,2019,Singrauli
Supply Chain Management,Poor department performance,54,242,61,6,84,20,10,9,97,69,Campus recruitment,0,IITs,Chhattisgarh,2019,Mundra
Finance,Poor department performance,44,239,68,10,84,21,11,9,33,87,LinkedIn,2,IITs,Tamil Nadu,2019,Singrauli
Production,Bored and unchallenged by the work itself,40,247,63,6,66,24,8,14,44,70,Campus recruitment,1,IITs,Tamil Nadu,2019,Singrauli
Warehouse,Bored and unchallenged by the work itself,25,247,89,10,66,23,3,17,22,79,Campus recruitment,1,NSIT,Punjab,2019,Kawai
Quality Assurance,Poor department performance,27,257,84,5,85,24,7,14,96,79,Campus recruitment,2,NITs,Delhi,2019,Mundra
Warehouse,Further studies,49,267,77,7,64,22,11,18,82,69,Campus recruitment,0,IIITs,Madhya Pradesh,2019,Singrauli
Supply Chain Management,Job dissatisfaction,41,231,71,7,84,24,2,20,84,78,Campus recruitment,1,IIEST,Chhattisgarh,2019,Singrauli
Finance,Poor department performance,48,268,85,10,31,22,2,11,55,68,Campus recruitment,1,IITs,Bihar,2019,Kawai
Human Resources,Job location not favourable,26,265,60,7,84,20,1,20,85,81,Other job portals,2,IITs,Bihar,2019,Singrauli
Supply Chain Management,Job location not favourable,47,286,74,11,86,23,2,4,68,90,Campus recruitment,2,DTU,Maharashtra,2019,Singrauli
Human Resources,Further studies,12,294,82,7,85,23,5,4,44,91,Campus recruitment,0,IITs,Bihar,2019,Mundra
Administration,Poor department performance,22,267,88,2,55,22,6,15,85,81,Other job portals,0,DTU,Delhi,2019,Singrauli
Research and Development,Job dissatisfaction,7,55,84,7,49,21,4,13,81,98,Campus recruitment,2,IIITs,Madhya Pradesh,2019,Singrauli
Information Technology,Bored and unchallenged by the work itself,27,108,63,9,99,22,5,0,63,65,Campus recruitment,2,IITs,Punjab,2019,Kawai
Quality Assurance,Job dissatisfaction,24,90,79,9,95,21,2,10,22,80,Campus recruitment,0,IIITs,Kerala,2019,Mundra
Warehouse,Preparing for competitive exams,49,250,88,9,96,23,6,2,69,86,Other job portals,2,IITs,Uttar Pradesh,2019,Singrauli
Production,Further studies,23,285,87,8,82,22,10,19,87,66,Campus recruitment,0,IIITs,Tamil Nadu,2019,Singrauli
Safety,Job location not favourable,27,239,94,7,84,24,1,14,93,96,Other job portals,2,IITs,Delhi,2019,Kawai
Projects and Engineering,Preparing for competitive exams,37,247,60,10,81,24,9,6,65,74,Campus recruitment,2,IITs,Punjab,2019,Singrauli
Research and Development,Further studies,38,247,84,10,85,20,3,20,64,73,Campus recruitment,2,NSIT,Kerala,2019,Singrauli
Legal,Better opportunity,52,257,66,4,68,23,1,18,94,76,Campus recruitment,2,NITs,Tamil Nadu,2019,Mundra
Human Resources,Preparing for competitive exams,21,267,84,10,96,22,3,2,88,92,Other job portals,2,NITs,Maharashtra,2019,Singrauli
Production,Bored and unchallenged by the work itself,59,231,76,9,85,22,1,2,72,73,Campus recruitment,0,DTU,Tamil Nadu,2019,Singrauli
Research and Development,Job dissatisfaction,21,294,89,9,81,24,3,6,98,84,Campus recruitment,2,IIITs,Maharashtra,2019,Kawai
Projects and Engineering,Bored and unchallenged by the work itself,21,160,91,9,63,23,6,6,81,72,Campus recruitment,0,NSIT,Punjab,2019,Mundra
Quality Assurance,Job location not favourable,22,210,69,5,89,21,8,6,96,70,Campus recruitment,0,NSIT,Kerala,2019,Singrauli
Administration,Job location not favourable,54,55,82,6,69,22,10,20,96,70,Campus recruitment,1,IIEST,Tamil Nadu,2019,Singrauli
Projects and Engineering,Better opportunity,34,55,98,6,87,24,9,6,86,97,Other job portals,2,DTU,Jharkhand,2019,Kawai
Production,Bored and unchallenged by the work itself,53,55,75,7,93,20,3,3,68,81,Campus recruitment,0,IITs,Punjab,2019,Singrauli
Information Technology,Better opportunity,42,55,94,8,65,22,5,8,89,91,Campus recruitment,0,IIEST,Maharashtra,2019,Singrauli
Sales and Promotion,Preparing for competitive exams,25,55,63,10,64,20,3,0,71,64,Campus recruitment,1,IITs,Madhya Pradesh,2019,Mundra
Information Technology,Job location not favourable,49,55,90,11,94,24,2,3,60,78,Campus recruitment,2,IITs,Tamil Nadu,2019,Singrauli
Production,Bored and unchallenged by the work itself,55,55,86,11,88,21,6,9,69,90,Campus recruitment,0,IIEST,Bihar,2019,Raigarh
Supply Chain Management,Job location not favourable,54,55,93,8,72,21,1,5,60,66,Campus recruitment,0,IIITs,Uttar Pradesh,2019,Kawai
Sales and Promotion,Better opportunity,52,55,80,7,98,24,11,12,96,78,Other job portals,0,NSIT,Uttar Pradesh,2019,Mundra
Legal,Further studies,30,55,91,7,81,24,2,19,73,84,Campus recruitment,2,IITs,Uttar Pradesh,2019,Singrauli
Production,Job location not favourable,46,55,99,8,96,21,2,11,84,66,Campus recruitment,2,IITs,Madhya Pradesh,2019,Singrauli
Administration,Further studies,54,230,89,11,96,22,10,7,84,69,Other job portals,0,IITs,Punjab,2019,Kawai
Administration,Bored and unchallenged by the work itself,30,133,72,10,85,20,9,4,88,86,Other job portals,0,NSIT,Kerala,2019,Korba
Production,Job location not favourable,49,55,68,11,82,24,8,9,90,79,Campus recruitment,2,DTU,Delhi,2019,Raigarh
Finance,Job dissatisfaction,30,55,71,10,99,23,3,16,98,70,Campus recruitment,1,IITs,Delhi,2019,Mundra
Administration,Better opportunity,38,55,98,9,56,20,5,8,70,61,Other job portals,2,NITs,Maharashtra,2019,Singrauli
Production,Better opportunity,57,55,67,8,46,20,11,18,93,61,Campus recruitment,0,IITs,Delhi,2019,Raigarh
Production,Better opportunity,52,250,61,3,83,20,6,16,88,76,Campus recruitment,2,NITs,Kerala,2019,Kawai
Safety,Bored and unchallenged by the work itself,8,250,99,2,48,22,2,19,74,90,Campus recruitment,0,IITs,Kerala,2019,Mundra
Information Technology,Job location not favourable,10,250,90,11,48,21,4,14,79,65,Campus recruitment,2,NSIT,Delhi,2019,Singrauli
Projects and Engineering,Better opportunity,55,250,96,11,53,20,9,9,78,77,Campus recruitment,0,IITs,Maharashtra,2019,Korba
Production,Job location not favourable,6,55,88,7,65,23,2,3,64,63,Campus recruitment,0,IITs,Kerala,2019,Kawai
Production,Better opportunity,53,222,89,11,66,22,10,8,85,99,Campus recruitment,0,DTU,Jharkhand,2019,Korba
Legal,Further studies,1,131,69,10,66,22,10,0,74,88,Campus recruitment,1,DTU,Kerala,2019,Raigarh
Production,Job dissatisfaction,39,222,97,6,83,24,4,13,79,85,Campus recruitment,1,IITs,Maharashtra,2019,Mundra
Information Technology,Further studies,54,211,99,11,25,20,6,17,66,78,Campus recruitment,0,DTU,Delhi,2019,Singrauli
Production,Job location not favourable,5,235,89,3,31,24,4,9,96,87,Campus recruitment,0,IITs,Punjab,2019,Raigarh
Strategy,Job dissatisfaction,49,222,65,11,82,24,2,11,90,75,Campus recruitment,1,IITs,Kerala,2019,Kawai
Finance,Better opportunity,55,246,79,8,84,20,4,2,94,80,Campus recruitment,0,DTU,Punjab,2019,Mundra
Finance,Bored and unchallenged by the work itself,4,55,72,8,84,20,4,8,84,80,Campus recruitment,0,IITs,Jharkhand,2019,Singrauli
Production,Job location not favourable,34,55,85,11,85,21,2,18,78,97,Campus recruitment,0,DTU,Delhi,2019,Korba
Information Technology,Poor department performance,54,55,80,10,75,22,6,15,73,99,Other job portals,2,DTU,Punjab,2019,Kawai
Safety,Further studies,41,55,90,6,31,23,10,7,5,67,Campus recruitment,2,NSIT,Kerala,2019,Korba
Strategy,Bored and unchallenged by the work itself,56,235,66,7,88,20,7,4,10,87,Campus recruitment,0,DTU,Punjab,2019,Raigarh
Production,Preparing for competitive exams,33,108,92,7,84,20,8,4,70,66,Campus recruitment,0,DTU,Kerala,2019,Mundra
Projects and Engineering,Job location not favourable,59,55,97,6,86,20,10,11,61,74,Campus recruitment,2,IITs,Punjab,2019,Singrauli
Production,Job location not favourable,40,55,73,9,66,20,1,19,75,89,Campus recruitment,1,DTU,Maharashtra,2019,Raigarh
Production,Poor department performance,55,210,98,10,77,20,7,14,15,94,Other job portals,1,NSIT,Delhi,2019,Kawai
Production,Bored and unchallenged by the work itself,52,286,91,10,82,23,1,17,78,91,Campus recruitment,0,IITs,Delhi,2019,Mundra
Legal,Bored and unchallenged by the work itself,31,55,82,10,85,22,7,4,76,70,Campus recruitment,2,DTU,Kerala,2019,Singrauli
Sales and Promotion,Preparing for competitive exams,60,55,78,11,86,23,3,20,79,65,Campus recruitment,1,IITs,Delhi,2019,Korba
Strategy,Job location not favourable,19,270,67,6,78,21,7,8,94,85,Campus recruitment,0,DTU,Delhi,2019,Kawai
Sales and Promotion,Bored and unchallenged by the work itself,21,55,95,10,75,20,9,7,67,73,Campus recruitment,0,IITs,Jharkhand,2019,Korba
Production,Job location not favourable,58,55,75,3,86,24,11,4,20,94,Campus recruitment,0,IITs,Tamil Nadu,2019,Raigarh
Sales and Promotion,Bored and unchallenged by the work itself,11,55,70,6,74,23,8,15,98,95,Campus recruitment,0,NITs,Delhi,2019,Mundra
Production,Preparing for competitive exams,45,193,80,9,15,24,8,11,83,74,Campus recruitment,0,IITs,Maharashtra,2019,Singrauli
Production,Better opportunity,46,55,95,9,81,20,8,17,61,60,Campus recruitment,0,DTU,Delhi,2019,Raigarh
Research and Development,Preparing for competitive exams,8,211,63,8,86,21,4,1,70,68,Campus recruitment,1,NITs,Kerala,2019,Kawai
